"id","language","text","text_normalized","caesar","vigenere","sp_network","char_count"
"1","fr","L'homme est né libre, et partout il est dans les fers","L'homme est ne libre, et partout il est dans les fers","O'krpph hvw qh oleuh, hw sduwrxw lo hvw gdqv ohv ihuv","O'wfgpt vmw cv flqiy, hi guuifow xc yvi uuqh cyv uvlv","d'bpYgo hig mx bictv, av vqdyagc rv bma iacq axm tiii","53"
"2","fr","Le cœur a ses raisons que la raison ne connaît point","Le coeur a ses raisons que la raison ne connait point","Oh frhxu d vhv udlvrqv txh od udlvrq qh frqqdlw srlqw","Ot tihji u vtj ldxjiqh hoh ar ldxjiq cv wrceuli gilck","vp zYpaq v tpr izvfzyq exq tq uvrmfz bx iamvulv tdmtn","52"
"3","fr","L'homme n'est qu'un roseau, le plus faible de la nature","L'homme n'est qu'un roseau, le plus faible de la nature","O'krpph q'hvw tx'xq urvhdx, oh soxv idleoh gh od qdwxuh","O'wfgpt e'yvi ho'xc iivtro, ot gfxh wulqcy gt cu qpkout","d'bpYgc h'lyv mi'qv rvyppi, ug ydaq xrbctm ap hd myxnpa","55"
"4","fr","Le silence éternel de ces espaces infinis m'effraie","Le silence eternel de ces espaces infinis m'effraie","Oh vlohqfh hwhuqho gh fhv hvsdfhv lqilqlv p'hiiudlh","Ot jcotewh tkyucvf gt tyv tjjdrvm lcwcqxj g'huwldxv","mp pYzbylc pmqngai cp pdp zizoumf imtbdra x'ztqbrfi","51"
"5","fr","On ne voit bien qu'avec le cœur, l'essentiel est invisible","On ne voit bien qu'avec le coeur, l'essentiel est invisible","Rq qh yrlw elhq tx'dyhf oh frhxu, o'hvvhqwlho hvw lqylvleoh","Rc ey ydzn exvh tj'rphr cy fdvou, a'vmvtenltc yvi zhyxjceav","cm fU lwcj qrzl ih'pucu fq mygio, e'paiwilcpv tmq ijmreczli","58"
"6","fr","Tu deviens responsable pour toujours de ce que tu as apprivoisé","Tu deviens responsable pour toujours de ce que tu as apprivoise","Wx ghylhqv uhvsrqvdeoh srxu wrxmrxuv gh fh txh wx dv dssulyrlvh","Wj uyyxvhv gvmsdemdqcy sdll wdldrjim gt ty tjv nx pj useicydzmh","cz rBaqcio dfiioslcxff mtst ffzbtouv cp zd pwp ia hl rzmsvofcjq","63"
"7","fr","C'est le temps que tu as perdu pour ta rose qui fait ta rose importante","C'est le temps que tu as perdu pour ta rose qui fait ta rose importante","F'hvw oh whpsv txh wx dv shugx srxu wd urvh txl idlw wd urvh lpsruwdqwh","F'tjn ot kypej kxt ko dh gyusl jrji nd gfmh flc ipzn wp iivt zgsdindcky","w'ppG zc ynnlp hzy rn cq sfdza twzd uv ofgm ghq twvj vh pbvd ijwfmsvcfn","71"
"8","fr","On ne reçoit pas la sagesse, il faut la découvrir soi-même","On ne recoit pas la sagesse, il faut la decouvrir soi-meme","Rq qh uhfrlw sdv od vdjhvvh, lo idxw od ghfrxyulu vrl-phph","Rc ey uttili guv ar mdvvmvt, zf ipln op uyfdlpuxi mrx-dypt","cm pU lvapav etd oi uoipfig, ij whhv tc yahfrgtoa vcr-pufh","58"
"9","fr","Il faut manger pour vivre et non pas vivre pour manger","Il faut manger pour vivre et non pas vivre pour manger","Lo idxw pdqjhu srxu ylyuh hw qrq sdv ylyuh srxu pdqjhu","La wuxi duqvvl sdll yxmlh tk hrc guv kzput gixg duqvvl","ae vTba rftifx itst trpco qq nam nud hijvp dada rftixi","54"
"10","fr","Les gens de qualité savent tout sans avoir rien appris","Les gens de qualite savent tout sans avoir rien appris","Ohv jhqv gh txdolwh vdyhqw wrxw vdqv dyrlu ulhq dssulv","Otj ahcj xh fluoxky vpmyqi kixi juqh rprxi llte useicv","epm Yzrq za grqtcyn chviov xnav qrzh xutrp uvat lmlsvi","54"
